ID_INGRESOS;FECHA;CUENTA_CONTABLE;TIPO_OPERACION;REFERENCIA;BENEFICIARIO;DESCRIPCION;INGRESO;EGRESO
792;2026-04-01;Ingresos por Cuotas;TRANSF;14262115654811;INGRESO PARTICULAR;FACT#10932;9500;0
793;2026-04-01;Ingresos por Cuotas;TRANSF;13275615598659;INGRESO PARTICULAR;FACT#10933;9478,2;0
794;2026-04-01;Ingresos por Cuotas;TRANSF;141912844;INGRESO PARTICULAR;FACT#10934;23696;0
795;2026-04-01;Ingresos por Cuotas;TRANSF;15264811630810;INGRESO PARTICULAR;FACT#10935;9480;0
796;2026-04-01;Ingresos por Cuotas;TRANSF;722089561;INGRESO PARTICULAR;FACT#10936;9480;0
797;2026-04-01;Ingresos por Cuotas;TRANSF;60918327438;INGRESO PARTICULAR;FACT#10937;9500;0
798;2026-04-01;Ingresos por Cuotas;TRANSF;60916293289;INGRESO PARTICULAR;FACT#10938;11847,75;0
799;2026-04-02;Ingresos por Cuotas;TRANSF;24893343594;INGRESO PARTICULAR;FACT#10939;21322;0
800;2026-04-03;Ingresos por Cuotas;TRANSF;60931445171;INGRESO PARTICULAR;FACT#10940;9482;0
801;2026-04-04;Ingresos por Cuotas;TRANSF;103043841;INGRESO PARTICULAR;FACT#10941;11850;0
802;2026-04-04;Ingresos por Cuotas;TRANSF;60943797867;INGRESO PARTICULAR;FACT#10942;9481;0
803;2026-04-06;Ingresos por Cuotas;TRANSF;8502468356205;INGRESO PARTICULAR;FACT#10943;11852;0
804;2026-04-06;Ingresos por Cuotas;TRANSF;10144517572425;INGRESO PARTICULAR;FACT#10944;11852;0
805;2026-04-06;Ingresos por Cuotas;TRANSF;60968786733;INGRESO PARTICULAR;FACT#10945;9500;0
806;2026-04-06;Ingresos por Cuotas;TRANSF;16263813497751;INGRESO PARTICULAR;FACT#10946;9500;0
807;2026-04-06;Ingresos por Cuotas;TRANSF;17240917868351;INGRESO PARTICULAR;FACT#10947;18962;0
808;2026-04-07;Ingresos por Cuotas;TRANSF;82325308;INGRESO PARTICULAR;FACT#10948;4746;0
809;2026-04-07;Ingresos por Cuotas;TRANSF;76247991;INGRESO PARTICULAR;FACT#10949;9490,6;0
810;2026-04-07;Ingresos por Cuotas;TRANSF;102506922;INGRESO PARTICULAR;FACT#10950;21353,85;0
811;2026-04-07;Ingresos por Cuotas;TRANSF;11031413891518;INGRESO PARTICULAR;FACT#10951;9491;0
812;2026-04-07;Ingresos por Cuotas;TRANSF;60971979116;INGRESO PARTICULAR;FACT#10952;9490,6;0
813;2026-04-07;Ingresos por Cuotas;TRANSF;140825615;INGRESO PARTICULAR;FACT#10953;9490,6;0
814;2026-04-07;Ingresos por Cuotas;TRANSF;24929543966;INGRESO PARTICULAR;FACT#10954;11864;0
815;2026-04-07;Ingresos por Cuotas;TRANSF;18000173443151;INGRESO PARTICULAR;FACT#10955;9500;0
816;2026-04-07;Ingresos por Cuotas;TRANSF;60973494841;INGRESO PARTICULAR;FACT#10956;9500;0
817;2026-04-07;Ingresos por Cuotas;TRANSF;18162718463933;INGRESO PARTICULAR;FACT#10957;9490,6;0
818;2026-04-07;Ingresos por Cuotas;TRANSF;18192473511245;INGRESO PARTICULAR;FACT#10958;18981,35;0
819;2026-04-07;Ingresos por Cuotas;TRANSF;20403618544952;INGRESO PARTICULAR;FACT#10959;9520;0
820;2026-04-09;Ingresos por Cuotas;TRANSF;109958270535;INGRESO PARTICULAR;FACT#10960;9519;0
821;2026-04-09;Ingresos por Cuotas;TRANSF;60997417839;INGRESO PARTICULAR;FACT#10961;9519,17;0
822;2026-04-09;Ingresos por Cuotas;TRANSF;60997527356;INGRESO PARTICULAR;FACT#10962;9519;0
823;2026-04-09;Ingresos por Cuotas;TRANSF;15062719461974;INGRESO PARTICULAR;FACT#10963;9520;0
824;2026-04-09;Ingresos por Cuotas;TRANSF;16571215452400;INGRESO PARTICULAR;FACT#10964;9519;0
825;2026-04-10;Ingresos por Cuotas;TRANSF;11131201163786;INGRESO PARTICULAR;FACT#10965;9540;0
826;2026-04-10;Ingresos por Cuotas;TRANSF;150200107;INGRESO PARTICULAR;FACT#10966;9491;0
827;2026-04-13;Ingresos por Cuotas;TRANSF;61644556;INGRESO PARTICULAR;FACT#10967;9543;0
828;2026-04-13;Ingresos por Cuotas;TRANSF;10263317007272;INGRESO PARTICULAR;FACT#10968;11928,75;0
829;2026-04-15;Ingresos por Cuotas;TRANSF;15135522971016;INGRESO PARTICULAR;FACT#10969;9571,6;0
830;2026-04-15;Ingresos por Cuotas;TRANSF;15153022972264;INGRESO PARTICULAR;FACT#10970;9571,6;0
831;2026-04-17;Ingresos por Cuotas;TRANSF;10541624172926;INGRESO PARTICULAR;FACT#10971;12006,25;0
836;2026-04-17;Ingresos por Cuotas;TRANSF;61074728353;INGRESO PARTICULAR;FACT#10976;12006;0
837;2026-04-20;Ingresos por Cuotas;TRANSF;61105384590;INGRESO PARTICULAR;FACT#10977;9633,8;0
838;2026-04-20;Ingresos por Cuotas;TRANSF;111051727455;INGRESO PARTICULAR;FACT#10978;12032;0
839;2026-04-23;Ingresos por Cuotas;TRANSF;61133130880;INGRESO PARTICULAR;FACT#10979;84700;0
840;2026-04-23;Ingresos por Cuotas;TRANSF;111352680897;INGRESO PARTICULAR;FACT#10980;50000;0
842;2026-04-23;Ingresos por Cuotas;TRANSF;742188508;INGRESO PARTICULAR;FACT#10982;24166,5;0
843;2026-04-24;Ingresos por Cuotas;TRANSF;151954002;INGRESO PARTICULAR;FACT#10983;8724,8;0
844;2026-04-27;Ingresos por Cuotas;TRANSF;8432429865808;INGRESO PARTICULAR;FACT#10984;12125;0
845;2026-04-27;Ingresos por Cuotas;TRANSF;9415124644704;INGRESO PARTICULAR;FACT#10985;12120;0
846;2026-04-27;Ingresos por Cuotas;TRANSF;61175519100;INGRESO PARTICULAR;FACT#10986;9694,8;0
847;2026-04-28;Ingresos por Cuotas;TRANSF;61188419854;INGRESO PARTICULAR;FACT#10987;24280;0
848;2026-04-28;Ingresos por Cuotas;TRANSF;61189790762;INGRESO PARTICULAR;FACT#10988;9723,8;0
849;2026-04-29;Ingresos por Cuotas;TRANSF;25130785531;INGRESO PARTICULAR;FACT#10989;24310;0
850;2026-04-30;Ingresos por Cuotas;TRANSF;8212503549283;INGRESO PARTICULAR;FACT#10990;19800;0
852;2026-04-30;Ingresos por Cuotas;TRANSF;141317226;INGRESO PARTICULAR;FACT#10992;12177,75;0
853;2026-04-30;Ingresos por Cuotas;TRANSF;61205225668;INGRESO PARTICULAR;FACT#10993;24400;0
854;2026-04-30;Ingresos por Cuotas;TRANSF;61205383567;INGRESO PARTICULAR;FACT#10994;12177,75;0
855;2026-04-30;Ingresos por Cuotas;TRANSF;214645790;INGRESO PARTICULAR;FACT#10995;9742,2;0
856;2026-05-01;Ingresos por Cuotas;TRANSF;205233463;INGRESO PARTICULAR;FACT#10996;12150;0
857;2026-05-04;Ingresos por Cuotas;TRANSF;6295534181483;INGRESO PARTICULAR;FACT#10997;9791;0
858;2026-05-04;Ingresos por Cuotas;TRANSF;112456082209;INGRESO PARTICULAR;FACT#10998;9791;0
859;2026-05-04;Ingresos por Cuotas;TRANSF;8484634240079;INGRESO PARTICULAR;FACT#10999;12250;0
860;2026-05-04;Ingresos por Cuotas;TRANSF;61246873726;INGRESO PARTICULAR;FACT#11000;9791;0
861;2026-05-04;Ingresos por Cuotas;TRANSF;112456123456;INGRESO PARTICULAR;FACT#11001;19582;0
862;2026-05-04;Ingresos por Cuotas;TRANSF;11043128360453;INGRESO PARTICULAR;FACT#11002;9791;0
851;2026-04-30;Ingresos por Cuotas;TRANSF;8212503549283;INGRESO PARTICULAR;FACT#10991;9900;0
864;2026-05-04;Ingresos por Cuotas;TRANSF;61249715286;INGRESO PARTICULAR;FACT#11003;9820;0
865;2026-05-05;Ingresos por Cuotas;TRANSF;10043650497770;INGRESO PARTICULAR;FACT#11004;9800;0
866;2026-05-05;Ingresos por Cuotas;TRANSF;12471435080002;INGRESO PARTICULAR;FACT#11005;9800,8;0
867;2026-05-05;Ingresos por Cuotas;TRANSF;15191229290019;INGRESO PARTICULAR;FACT#11006;9800,88;0
868;2026-05-05;Ingresos por Cuotas;TRANSF;155559712;INGRESO PARTICULAR;FACT#11007;9800,88;0
869;2026-05-05;Ingresos por Cuotas;TRANSF;17102435276286;INGRESO PARTICULAR;FACT#11008;9883;0
870;2026-05-05;Ingresos por Cuotas;TRANSF;61252262888;INGRESO PARTICULAR;FACT#11009;9800,8;0
871;2026-05-05;Ingresos por Cuotas;TRANSF;22320053096760;INGRESO PARTICULAR;FACT#11010;49000;0
872;2026-05-06;Ingresos por Cuotas;TRANSF;61264450947;INGRESO PARTICULAR;FACT#11011;9867,4;0
