ID_FACTURA,ID_MIEMBRO,FECHA,MONTO_BS,MONTO_DIVISAS,METODO_PAGO,FACT_UGAVI,FACT_FONDO,MENSUALIDADES,REFERENCIA,ESTADO,IMPRESA
1009,16,2026-07-01,12667.20,20.00,Pago Movil/Transferencia,13825,11134,julio 2026,9385671135188,VIGENTE,1
1010,54,2026-07-01,13000.00,20.00,Pago Movil/Transferencia,13826,11135,agosto 2026,61826206804,VIGENTE,1
1011,284,2026-07-01,12667.20,20.00,Pago Movil/Transferencia,13827,11136,julio 2026,15005527429941,VIGENTE,0
1012,30,2026-07-01,12700.00,20.00,Pago Movil/Transferencia,13828,11137,agosto 2026,18282328245190,VIGENTE,0
1014,260,2026-07-01,12700.00,20.00,Pago Movil/Transferencia,13829,11138,agosto 2026,18282328245190,VIGENTE,0
1015,23,2026-07-02,15993.00,25.00,Pago Movil/Transferencia,13830,11139,RESTANTE JUNIO 2026 - $5 JULIO 2026,7112271764135,VIGENTE,0
1016,228,2026-07-02,12800.00,20.00,Pago Movil/Transferencia,13831,11140,julio 2026,7222671767518,VIGENTE,0
1017,363,2026-07-02,12800.00,20.00,Pago Movil/Transferencia,13832,11141,julio 2026,7233939225176,VIGENTE,0
1018,278,2026-07-02,12794.00,20.00,Pago Movil/Transferencia,13833,11142,julio 2026,61839301814,VIGENTE,1
1019,387,2026-07-02,12794.00,20.00,Pago Movil/Transferencia,13834,11143,junio 2026,10470271896180,VIGENTE,0
1020,127,2026-07-02,16000.00,25.00,Pago Movil/Transferencia,13835,11144,febrero 2026,892334356,VIGENTE,0
1021,396,2026-07-02,12800.00,20.00,Pago Movil/Transferencia,13836,11145,julio 2026,61830614861,VIGENTE,0
1022,371,2026-07-02,12794.00,20.00,Pago Movil/Transferencia,13837,11146,julio 2026,61830845245,VIGENTE,0
1023,137,2026-07-02,13059.50,20.00,Pago Movil/Transferencia,13838,11147,julio 2026,19132472293055,VIGENTE,0
1024,171,2026-07-03,13059.40,20.00,Pago Movil/Transferencia,13839,11148,julio 2026,9560772505888,VIGENTE,0
1025,414,2026-07-03,13059.45,20.00,Pago Movil/Transferencia,13840,11149,julio 2026,154657347,VIGENTE,0
1026,422,2026-07-03,13060.00,20.00,Pago Movil/Transferencia,13841,11150,julio 2026,21225616285402,VIGENTE,0
1027,83,2026-07-03,66705.00,100.00,Pago Movil/Transferencia,13842,11151,ENERO 2026 - ABRIL 2026,61845843563,VIGENTE,0
1028,141,2026-07-06,26682.00,40.00,Pago Movil/Transferencia,13843,11152,JULIO 2026 - AGOSTO 2026,816542759,VIGENTE,0
1029,299,2026-07-06,78356.40,120.00,Pago Movil/Transferencia,13844,11153,JULIO 2026 - DICIEMBRE 2026,82015777,VIGENTE,0
1030,388,2026-07-06,13341.00,20.00,Pago Movil/Transferencia,13845,11154,julio 2026,118758418091,VIGENTE,0
1031,399,2026-07-06,13341.00,20.00,Pago Movil/Transferencia,13846,11155,julio 2026,10310162898436,VIGENTE,0
1032,269,2026-07-06,16677.00,25.00,Pago Movil/Transferencia,13847,11156,junio 2026,11434174360124,VIGENTE,0
1033,103,2026-07-06,33353.00,50.00,Pago Movil/Transferencia,13848,11157,MAYO 2026 - JUNIO 2026,61873428178,VIGENTE,0
1034,103,2026-07-06,13341.00,20.00,Pago Movil/Transferencia,13849,11158,julio 2026,61873432091,VIGENTE,0
1035,403,2026-07-06,13498.60,20.00,Pago Movil/Transferencia,13850,11159,julio 2026,61873855362,VIGENTE,0
1036,402,2026-07-06,16676.25,25.00,Pago Movil/Transferencia,13851,11160,RESTANTE JULIO 2026 - AGOSTO 2026,175621898,VIGENTE,0
1037,12,2026-07-07,26997.22,40.00,Pago Movil/Transferencia,13852,11161,JULIO 2026 - AGOSTO 2026,118858793236,VIGENTE,1
1038,253,2026-07-07,33746.53,50.00,Pago Movil/Transferencia,13853,11162,SALDO VIEJO PENDIENTE,11520974958739,VIGENTE,1
1039,253,2026-07-07,13498.61,20.00,Pago Movil/Transferencia,13854,11163,julio 2026,11545574960878,VIGENTE,1
1040,389,2026-07-08,13739.40,20.00,Pago Movil/Transferencia,13855,11164,julio 2026,61898313826,VIGENTE,1
